,AB-CF,COMTE,DiscoX,MultiSub-SpaCE
ArticularyWordRecognition,0.03 ± 0.01,0.0 ± 0.0,0.05 ± 0.03,0.02 ± 0.02
BasicMotions,0.04 ± 0.02,0.01 ± 0.0,0.09 ± 0.06,0.02 ± 0.01
Cricket,0.0 ± 0.0,0.0 ± 0.0,,0.01 ± 0.01
Epilepsy,0.03 ± 0.01,0.01 ± 0.01,0.09 ± 0.1,0.02 ± 0.01
NATOPS,0.09 ± 0.03,0.01 ± 0.0,0.06 ± 0.04,0.02 ± 0.01
PEMS-SF,0.03 ± 0.01,0.0 ± 0.0,nan ± nan,0.02 ± 0.01
PenDigits,0.41 ± 0.13,0.33 ± 0.13,0.16 ± 0.08,0.21 ± 0.1
RacketSports,0.15 ± 0.05,0.03 ± 0.0,0.15 ± 0.08,0.02 ± 0.01
SelfRegulationSCP1,0.01 ± 0.0,0.0 ± 0.0,0.08 ± 0.08,0.02 ± 0.01
UWaveGestureLibrary,0.01 ± 0.01,0.01 ± 0.0,0.06 ± 0.06,0.01 ± 0.0
Average Rank,2.7,1.3,3.375,2.0
