method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;outlier_score;increase_outlier_score;subsequences;subsequences %;times
subspace_gknn_ich_mut07;19.5 ± 11.69;276.18 ± 141.51;0.46 ± 0.24;954.47 ± 868.4;75.5 ± 54.69;0.8 ± 0.07;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.17;0.01 ± 0.03;12.25 ± 4.72;0.04 ± 0.02;29.66 ± 8.65
subspace_gknn_cch_mut05;19.5 ± 11.69;282.27 ± 116.62;0.47 ± 0.19;918.33 ± 789.84;73.93 ± 52.55;0.78 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.25 ± 0.15;0.01 ± 0.02;8.65 ± 3.93;0.03 ± 0.01;25.3 ± 6.64
subspace_gknn_cch_mut02;19.5 ± 11.69;264.35 ± 123.72;0.44 ± 0.21;851.66 ± 726.55;71.28 ± 50.22;0.77 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.27 ± 0.17;0.01 ± 0.02;10.95 ± 4.65;0.04 ± 0.02;24.73 ± 5.89
subspace_gknn_gch_mut05;19.5 ± 11.69;280.05 ± 116.81;0.47 ± 0.19;874.06 ± 735.66;71.84 ± 50.66;0.74 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.25 ± 0.16;0.01 ± 0.02;9.3 ± 4.5;0.03 ± 0.01;26.28 ± 7.7
subspace_gknn_gch_mut04;19.5 ± 11.69;286.2 ± 124.68;0.48 ± 0.21;901.17 ± 788.62;73.24 ± 52.29;0.74 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.24 ± 0.16;0.01 ± 0.02;9.15 ± 4.9;0.03 ± 0.02;24.78 ± 6.16
subspace_gknn_ich_mut05;19.5 ± 11.69;292.05 ± 136.28;0.49 ± 0.23;987.01 ± 861.89;76.82 ± 54.68;0.82 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.16;0.02 ± 0.03;13.68 ± 4.33;0.05 ± 0.01;27.94 ± 7.74
subspace_gknn_ich_mut09;19.5 ± 11.69;247.62 ± 143.67;0.41 ± 0.24;866.86 ± 806.0;72.37 ± 52.85;0.77 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.29 ± 0.18;0.01 ± 0.02;16.73 ± 12.67;0.06 ± 0.04;29.86 ± 8.81
subspace_gknn_cch_mut01;19.5 ± 11.69;260.95 ± 125.63;0.43 ± 0.21;876.35 ± 787.63;72.61 ± 52.28;0.77 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.16;0.01 ± 0.02;12.68 ± 4.64;0.04 ± 0.02;25.4 ± 6.69
subspace_gknn_gch_mut01;19.5 ± 11.69;266.7 ± 121.73;0.44 ± 0.2;852.04 ± 725.93;71.41 ± 50.21;0.74 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.16;0.01 ± 0.02;12.75 ± 5.47;0.04 ± 0.02;24.4 ± 6.32
subspace_gknn_ich_mut01;19.5 ± 11.69;288.4 ± 133.07;0.48 ± 0.22;952.01 ± 836.35;75.52 ± 53.86;0.81 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.28 ± 0.16;0.02 ± 0.03;25.12 ± 7.58;0.08 ± 0.03;27.03 ± 6.84
subspace_gknn_cch_mut09;19.5 ± 11.69;224.45 ± 117.44;0.37 ± 0.2;818.4 ± 751.96;70.56 ± 51.64;0.71 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.27 ± 0.17;0.01 ± 0.02;9.82 ± 4.04;0.03 ± 0.01;26.84 ± 8.0
subspace_gknn_gch_mut02;19.5 ± 11.69;270.15 ± 124.87;0.45 ± 0.21;856.04 ± 753.29;71.19 ± 50.95;0.73 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.17;0.01 ± 0.02;10.65 ± 4.61;0.04 ± 0.02;23.99 ± 6.14
subspace_gknn_cch_mut04;19.5 ± 11.69;269.62 ± 121.82;0.45 ± 0.2;866.4 ± 751.3;71.76 ± 51.24;0.76 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.17;0.01 ± 0.02;9.12 ± 3.98;0.03 ± 0.01;24.4 ± 5.78
subspace_gknn_ich_mut02;19.5 ± 11.69;296.1 ± 131.98;0.49 ± 0.22;989.3 ± 860.02;76.85 ± 54.61;0.81 ± 0.07;1.0 ± 0.0;1.0 ± 0.0;0.27 ± 0.16;0.02 ± 0.03;18.35 ± 6.41;0.06 ± 0.02;26.64 ± 7.15
subspace_gknn_gch_mut09;19.5 ± 11.69;266.73 ± 124.57;0.44 ± 0.21;846.55 ± 728.23;70.8 ± 50.49;0.71 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.16;0.01 ± 0.02;13.05 ± 16.8;0.04 ± 0.06;26.53 ± 8.06
subspace_gknn_cch_mut07;19.5 ± 11.69;262.88 ± 127.22;0.44 ± 0.21;896.04 ± 825.39;73.07 ± 53.49;0.75 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.16;0.01 ± 0.02;8.88 ± 4.17;0.03 ± 0.01;25.85 ± 7.55
subspace_gknn_ich_mut04;19.5 ± 11.69;291.45 ± 130.56;0.49 ± 0.22;987.52 ± 861.62;76.59 ± 54.95;0.81 ± 0.06;1.0 ± 0.0;1.0 ± 0.0;0.26 ± 0.15;0.02 ± 0.03;14.0 ± 4.66;0.05 ± 0.02;27.54 ± 7.94
subspace_gknn_gch_mut07;19.5 ± 11.69;277.95 ± 128.03;0.46 ± 0.21;900.49 ± 815.29;72.94 ± 53.75;0.74 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.25 ± 0.16;0.01 ± 0.02;9.9 ± 4.41;0.03 ± 0.01;26.29 ± 7.93
