method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;outlier_score;increase_outlier_score;subsequences;subsequences %;times
subspace_gknn_ich_mut07;87.18 ± 53.72;261.96 ± 188.42;0.21 ± 0.15;140.47 ± 131.02;9.84 ± 6.81;0.94 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.64 ± 0.23;0.06 ± 0.1;26.63 ± 32.93;0.04 ± 0.05;35.06 ± 11.13
subspace_gknn_cch_mut05;87.18 ± 53.72;323.93 ± 160.33;0.26 ± 0.13;163.64 ± 135.39;10.75 ± 6.87;0.97 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.02 ± 0.04;23.18 ± 4.07;0.04 ± 0.01;27.64 ± 6.34
subspace_gknn_cch_mut02;87.18 ± 53.72;322.35 ± 155.95;0.26 ± 0.13;161.01 ± 131.49;10.68 ± 6.79;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.02 ± 0.04;24.13 ± 4.48;0.04 ± 0.01;27.92 ± 5.84
subspace_gknn_gch_mut05;87.18 ± 53.72;329.76 ± 158.05;0.27 ± 0.13;163.45 ± 136.53;10.67 ± 6.96;0.9 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.18;0.03 ± 0.05;24.48 ± 3.38;0.04 ± 0.01;28.37 ± 7.11
subspace_gknn_gch_mut04;87.18 ± 53.72;326.16 ± 155.91;0.27 ± 0.13;161.45 ± 133.08;10.63 ± 6.87;0.9 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.03 ± 0.05;24.48 ± 3.38;0.04 ± 0.01;27.28 ± 6.46
subspace_gknn_ich_mut05;87.18 ± 53.72;292.03 ± 184.12;0.24 ± 0.15;149.18 ± 129.75;10.22 ± 6.67;0.95 ± 0.05;1.0 ± 0.0;1.0 ± 0.0;0.64 ± 0.23;0.06 ± 0.09;27.04 ± 12.49;0.04 ± 0.02;32.94 ± 10.53
subspace_gknn_ich_mut09;87.18 ± 53.72;228.67 ± 177.31;0.19 ± 0.14;122.16 ± 117.72;9.21 ± 6.34;0.89 ± 0.14;1.0 ± 0.0;1.0 ± 0.0;0.67 ± 0.26;0.08 ± 0.11;43.04 ± 71.68;0.07 ± 0.12;35.0 ± 11.02
subspace_gknn_cch_mut01;87.18 ± 53.72;320.02 ± 157.37;0.26 ± 0.13;160.88 ± 134.36;10.65 ± 6.84;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.02 ± 0.04;24.71 ± 4.08;0.04 ± 0.01;27.88 ± 6.82
subspace_gknn_gch_mut01;87.18 ± 53.72;331.68 ± 157.6;0.27 ± 0.13;164.47 ± 136.37;10.7 ± 6.95;0.91 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.18;0.02 ± 0.04;24.96 ± 4.73;0.04 ± 0.01;27.57 ± 6.69
subspace_gknn_ich_mut01;87.18 ± 53.72;373.24 ± 170.53;0.3 ± 0.14;163.12 ± 131.96;10.49 ± 6.6;0.95 ± 0.07;1.0 ± 0.0;1.0 ± 0.0;0.66 ± 0.23;0.07 ± 0.1;65.45 ± 27.26;0.11 ± 0.04;32.21 ± 8.46
subspace_gknn_cch_mut09;87.18 ± 53.72;323.17 ± 156.62;0.26 ± 0.13;160.81 ± 130.43;10.66 ± 6.76;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.6 ± 0.19;0.03 ± 0.04;23.21 ± 7.41;0.04 ± 0.01;29.41 ± 8.46
subspace_gknn_gch_mut02;87.18 ± 53.72;326.88 ± 156.91;0.27 ± 0.13;161.85 ± 133.92;10.63 ± 6.9;0.9 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.03 ± 0.05;24.48 ± 3.38;0.04 ± 0.01;26.08 ± 5.24
subspace_gknn_cch_mut04;87.18 ± 53.72;322.33 ± 155.49;0.26 ± 0.13;160.59 ± 130.37;10.66 ± 6.77;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.6 ± 0.2;0.03 ± 0.04;23.45 ± 4.09;0.04 ± 0.01;28.11 ± 6.73
subspace_gknn_ich_mut02;87.18 ± 53.72;359.36 ± 184.2;0.29 ± 0.15;166.2 ± 139.03;10.62 ± 6.83;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.64 ± 0.21;0.06 ± 0.07;44.37 ± 11.85;0.07 ± 0.02;31.06 ± 9.51
subspace_gknn_gch_mut09;87.18 ± 53.72;321.84 ± 152.67;0.26 ± 0.12;157.81 ± 131.73;10.47 ± 6.82;0.89 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.03 ± 0.05;28.32 ± 29.22;0.05 ± 0.05;28.13 ± 7.86
subspace_gknn_cch_mut07;87.18 ± 53.72;324.64 ± 160.13;0.27 ± 0.13;162.67 ± 133.99;10.69 ± 6.85;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.19;0.02 ± 0.04;22.87 ± 4.12;0.04 ± 0.01;28.5 ± 6.8
subspace_gknn_ich_mut04;87.18 ± 53.72;318.35 ± 185.06;0.26 ± 0.15;157.43 ± 133.88;10.45 ± 6.82;0.96 ± 0.03;1.0 ± 0.0;1.0 ± 0.0;0.63 ± 0.21;0.05 ± 0.06;30.3 ± 10.57;0.05 ± 0.02;33.23 ± 9.84
subspace_gknn_gch_mut07;87.18 ± 53.72;328.8 ± 157.6;0.27 ± 0.13;162.07 ± 135.2;10.61 ± 6.9;0.9 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.59 ± 0.18;0.03 ± 0.05;24.48 ± 3.38;0.04 ± 0.01;28.03 ± 7.91
