method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;outlier_score;increase_outlier_score;subsequences;subsequences %;times
subspace_gknn_ich_mut07;159.0 ± 87.23;298.15 ± 135.13;0.32 ± 0.14;277.7 ± 124.56;18.97 ± 5.31;0.89 ± 0.07;1.0 ± 0.0;1.0 ± 0.0;0.68 ± 0.16;0.04 ± 0.06;7.29 ± 3.73;0.02 ± 0.01;56.7 ± 17.47
subspace_gknn_cch_mut05;159.0 ± 87.23;292.4 ± 118.69;0.31 ± 0.13;271.43 ± 115.59;18.87 ± 4.92;0.87 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.67 ± 0.15;0.03 ± 0.05;6.02 ± 2.37;0.01 ± 0.01;52.9 ± 13.55
subspace_gknn_cch_mut02;159.0 ± 87.23;314.31 ± 135.75;0.33 ± 0.14;287.94 ± 126.98;19.44 ± 5.27;0.89 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.68 ± 0.15;0.03 ± 0.05;7.25 ± 2.81;0.02 ± 0.01;49.55 ± 11.65
subspace_gknn_gch_mut05;159.0 ± 87.23;302.82 ± 113.74;0.32 ± 0.12;272.99 ± 109.55;18.88 ± 4.82;0.87 ± 0.07;1.0 ± 0.0;1.0 ± 0.0;0.67 ± 0.16;0.03 ± 0.05;6.42 ± 2.7;0.01 ± 0.01;51.71 ± 13.67
subspace_gknn_gch_mut04;159.0 ± 87.23;309.51 ± 123.78;0.33 ± 0.13;280.76 ± 119.01;19.16 ± 5.01;0.87 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.67 ± 0.15;0.03 ± 0.05;6.6 ± 2.73;0.01 ± 0.01;50.76 ± 13.84
subspace_gknn_ich_mut05;159.0 ± 87.23;303.22 ± 131.29;0.32 ± 0.14;284.51 ± 122.53;19.33 ± 5.11;0.89 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.68 ± 0.18;0.04 ± 0.11;9.19 ± 21.66;0.02 ± 0.05;53.95 ± 13.55
subspace_gknn_ich_mut09;159.0 ± 87.23;289.24 ± 140.59;0.31 ± 0.15;259.51 ± 125.08;18.17 ± 5.32;0.79 ± 0.15;1.0 ± 0.0;1.0 ± 0.0;0.84 ± 0.29;0.19 ± 0.27;45.62 ± 75.7;0.1 ± 0.16;57.54 ± 17.5
subspace_gknn_cch_mut01;159.0 ± 87.23;312.5 ± 134.83;0.33 ± 0.14;278.53 ± 127.7;18.82 ± 5.3;0.87 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.69 ± 0.16;0.04 ± 0.06;8.78 ± 4.22;0.02 ± 0.01;49.97 ± 11.0
subspace_gknn_gch_mut01;159.0 ± 87.23;316.47 ± 130.71;0.33 ± 0.14;286.25 ± 126.72;19.25 ± 5.36;0.87 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.68 ± 0.15;0.03 ± 0.05;7.89 ± 3.38;0.02 ± 0.01;50.3 ± 12.88
subspace_gknn_ich_mut01;159.0 ± 87.23;345.59 ± 152.6;0.37 ± 0.16;305.32 ± 140.33;19.74 ± 5.52;0.9 ± 0.06;1.0 ± 0.0;1.0 ± 0.0;0.73 ± 0.15;0.08 ± 0.09;15.91 ± 8.88;0.03 ± 0.02;50.59 ± 12.12
subspace_gknn_cch_mut09;159.0 ± 87.23;252.47 ± 131.45;0.27 ± 0.14;244.66 ± 123.36;17.87 ± 5.39;0.84 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.72 ± 0.16;0.06 ± 0.08;8.84 ± 6.91;0.02 ± 0.01;54.94 ± 14.85
